PdName,Category,Material,Manufacturer,Certifications,Price,Sustainability Features,Country of Origin,id,content
Bamboo Toothbrush v1,Oral Care,Bamboo,EcoBrush,FSC Certified,3.7,"Biodegradable, Recyclable",China,PD1,"Bamboo Toothbrush v1 Oral Care Bamboo EcoBrush FSC Certified Biodegradable, Recyclable China"
Clay Pot v1,Kitchenware,Clay,EarthPottery,Handmade,13.59,"Biodegradable, Handmade",India,PD2,"Clay Pot v1 Kitchenware Clay EarthPottery Handmade Biodegradable, Handmade India"
Reusable Bamboo Coffee Cup v1,Drinkware,Bamboo,GreenCup,FSC Certified,12.55,"Biodegradable, Reusable",China,PD3,"Reusable Bamboo Coffee Cup v1 Drinkware Bamboo GreenCup FSC Certified Biodegradable, Reusable China"
Cotton Kitchen Sponge v1,Cleaning Supplies,Cotton,EcoSponge,Organic,8.72,"Biodegradable, Organic",USA,PD4,"Cotton Kitchen Sponge v1 Cleaning Supplies Cotton EcoSponge Organic Biodegradable, Organic USA"
Bamboo Cutlery Set v1,Cutlery,Bamboo,EcoUtensils,FSC Certified,10.49,"Biodegradable, Reusable",China,PD5,"Bamboo Cutlery Set v1 Cutlery Bamboo EcoUtensils FSC Certified Biodegradable, Reusable China"
Organic Cotton T-Shirt v1,Clothing,Organic Cotton,GreenWear,GOTS Certified,26.87,"Organic, Biodegradable",India,PD6,"Organic Cotton T-Shirt v1 Clothing Organic Cotton GreenWear GOTS Certified Organic, Biodegradable India"
Recycled Paper Notebook v1,Stationery,Recycled Paper,EcoNotes,Recycled,5.11,"Recyclable, Recycled",USA,PD7,"Recycled Paper Notebook v1 Stationery Recycled Paper EcoNotes Recycled Recyclable, Recycled USA"
Stainless Steel Water Bottle v1,Drinkware,Stainless Steel,EcoBottle,BPA Free,18.89,"Reusable, Recyclable",China,PD8,"Stainless Steel Water Bottle v1 Drinkware Stainless Steel EcoBottle BPA Free Reusable, Recyclable China"
Hemp Backpack v1,Bags,Hemp,EcoBag,Fair Trade,45.64,"Biodegradable, Durable",Nepal,PD9,"Hemp Backpack v1 Bags Hemp EcoBag Fair Trade Biodegradable, Durable Nepal"
Solar Powered Lantern v1,Lighting,Plastic,GreenLight,Energy Star,32.75,"Energy Efficient, Renewable Energy",China,PD10,"Solar Powered Lantern v1 Lighting Plastic GreenLight Energy Star Energy Efficient, Renewable Energy China"
Bamboo Charcoal Air Purifier v1,Home Goods,Bamboo,FreshAir,Natural,10.54,"Biodegradable, Reusable",China,PD11,"Bamboo Charcoal Air Purifier v1 Home Goods Bamboo FreshAir Natural Biodegradable, Reusable China"
Compostable Trash Bags v1,Cleaning Supplies,Compostable Plastic,GreenBags,Compostable,8.46,"Compostable, Biodegradable",USA,PD12,"Compostable Trash Bags v1 Cleaning Supplies Compostable Plastic GreenBags Compostable Compostable, Biodegradable USA"
Cork Yoga Mat v1,Fitness,Cork,EcoFit,Natural,47.65,"Biodegradable, Natural",Portugal,PD13,"Cork Yoga Mat v1 Fitness Cork EcoFit Natural Biodegradable, Natural Portugal"
Recycled Plastic Sunglasses v1,Accessories,Recycled Plastic,EcoShades,Recycled,35.69,"Recycled, Recyclable",Italy,PD14,"Recycled Plastic Sunglasses v1 Accessories Recycled Plastic EcoShades Recycled Recycled, Recyclable Italy"
Organic Wool Blanket v1,Home Goods,Organic Wool,EcoWarm,GOTS Certified,60.81,"Organic, Biodegradable",New Zealand,PD15,"Organic Wool Blanket v1 Home Goods Organic Wool EcoWarm GOTS Certified Organic, Biodegradable New Zealand"
Bamboo Hair Brush v1,Personal Care,Bamboo,EcoBrush,FSC Certified,6.86,"Biodegradable, Recyclable",China,PD16,"Bamboo Hair Brush v1 Personal Care Bamboo EcoBrush FSC Certified Biodegradable, Recyclable China"
Natural Loofah v1,Personal Care,Loofah,EcoBath,Natural,5.11,"Biodegradable, Natural",Thailand,PD17,"Natural Loofah v1 Personal Care Loofah EcoBath Natural Biodegradable, Natural Thailand"
Reusable Cloth Diapers v1,Baby Care,Cotton,EcoBaby,Organic,18.48,"Reusable, Organic",India,PD18,"Reusable Cloth Diapers v1 Baby Care Cotton EcoBaby Organic Reusable, Organic India"
Beeswax Food Wraps v1,Kitchenware,Cotton and Beeswax,EcoWraps,Organic,14.34,"Biodegradable, Reusable",USA,PD19,"Beeswax Food Wraps v1 Kitchenware Cotton and Beeswax EcoWraps Organic Biodegradable, Reusable USA"
